Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,GROSS,AND,2019,6,M,1,-,,Travel & Local,Mobile Passport,Airside Mobile Inc.,0.0,$4.99 - $14.99 per item,2020-05-20,310000,https://play.google.com/store/apps/details?id=us.mobilepassport
US,GROSS,AND,2019,6,M,2,-,,Travel & Local,Flightradar24 Flight Tracker,Flightradar24 AB,0.0,$1.49 - $64.99 per item,2020-05-12,155000,https://play.google.com/store/apps/details?id=com.flightradar24free
US,GROSS,AND,2019,6,M,3,-,,Travel & Local,Guthook Guides: Hike & Bike Offline,AtlasGuides,0.0,$1.99 - $59.99 per item,2020-07-12,80643,https://play.google.com/store/apps/details?id=com.atlasguides.guthook
US,GROSS,AND,2019,6,M,4,+227,,Travel & Local,LA Wallet,State of Louisiana,0.0,$5.99 per item,2020-05-19,75344,https://play.google.com/store/apps/details?id=gov.la.omv.lawallet
US,GROSS,AND,2019,6,M,5,-1,,Travel & Local,Road to Hana Maui Driving Tour,Shaka Guide,0.0,$1.99 - $20.99 per item,2020-07-15,68266,https://play.google.com/store/apps/details?id=com.shaka.guide.maui
US,GROSS,AND,2019,6,M,6,-1,,Travel & Local,Guthook's Appalachian Trail Guide,AtlasGuides,0.0,$8.99 - $59.99 per item,2020-06-21,40761,https://play.google.com/store/apps/details?id=com.highsierraattitude.atcomplete
US,GROSS,AND,2019,6,M,7,-,,Travel & Local,Roadtrippers - Trip Planner,Roadtrippers,0.0,$6.99 - $29.99 per item,2020-07-08,38482,https://play.google.com/store/apps/details?id=com.roadtrippers
US,GROSS,AND,2019,6,M,8,+287,,Travel & Local,CrewBuddy 2,Wapiti Software,0.0,$1.99 - $29.99 per item,2019-08-03,37401,https://play.google.com/store/apps/details?id=com.wapitisoftware.android.crewbuddy2
US,GROSS,AND,2019,6,M,9,-1,,Travel & Local,i-Boating:Marine Navigation Maps & Nautical Charts,Gps Nautical Charts,0.0,$17.99 - $64.99 per item,2020-07-16,35816,https://play.google.com/store/apps/details?id=com.skiracer.nautical_astore_lite
US,GROSS,AND,2019,6,M,10,-4,,Travel & Local,iFly GPS,"Adventure Pilot, LLC",0.0,$0.99 - $154.99 per item,2020-03-18,32668,https://play.google.com/store/apps/details?id=iFly.GPS
US,GROSS,AND,2019,6,M,11,+6,,Travel & Local,Yellowstone Teton Combo GyPSy,GyPSy Guide,$9.99,,2019-08-01,31293,https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.wy.combo
US,GROSS,AND,2019,6,M,12,+1,,Travel & Local,Mohegan Sun Connecticut,Mohegan Sun,0.0,$0.99 - $199.99 per item,2019-11-22,31172,https://play.google.com/store/apps/details?id=com.mvl.MoheganSunConnecticut
US,GROSS,AND,2019,6,M,13,-4,,Travel & Local,StaffTraveler,StaffTraveler Solutions B.V.,0.0,$0.99 - $39.99 per item,2020-07-18,27240,https://play.google.com/store/apps/details?id=com.stafftraveler.webview
US,GROSS,AND,2019,6,M,14,+2,,Productivity,Free WiFi Passwords & Internet Hotspot - WiFi Map®,WiFi Map LLC,0.0,$1.49 - $29.99 per item,2020-07-17,23283,https://play.google.com/store/apps/details?id=io.wifimap.wifimap
US,GROSS,AND,2019,6,M,15,+4,,Travel & Local,PeakFinder,Fabio Soldati,$4.99,,2020-03-03,22271,https://play.google.com/store/apps/details?id=org.peakfinder.area.alps
US,GROSS,AND,2019,6,M,16,-5,,Travel & Local,LiveATC for Android,LiveATC,$3.99,,2020-01-31,21728,https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app
US,GROSS,AND,2019,6,M,17,-2,,Travel & Local,Road to Hana GyPSy Drive Tour,GyPSy Guide,$6.99,,2019-05-23,18096,https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.rh
US,GROSS,AND,2019,6,M,18,-,,Travel & Local,Maui - Full Island GyPSy Driving Tour,GyPSy Guide,$9.99,,2019-05-23,16816,https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.fit
US,GROSS,AND,2019,6,M,19,-5,,Tools,Translate Platinum - Online Translator,Student Media LLC,0.0,$0.99 - $49.99 per item,2020-04-14,16037,https://play.google.com/store/apps/details?id=com.sws.translate.subscribe
US,GROSS,AND,2019,6,M,20,-,,Travel & Local,Garmin Smartphone Link,Garmin,0.0,$0.99 - $39.99 per item,2019-10-31,15543,https://play.google.com/store/apps/details?id=com.garmin.android.apps.phonelink
US,GROSS,AND,2019,6,M,21,-11,,Travel & Local,Guthook's Pacific Crest Trail Guide,AtlasGuides,0.0,$7.99 - $49.99 per item,2020-06-21,14810,https://play.google.com/store/apps/details?id=com.highsierraattitude.pctcomplete
US,GROSS,AND,2019,6,M,22,-10,,Travel & Local,Chao translate - voice and text translator,chao translate,0.0,$4.99 - $99.99 per item,2019-11-12,13999,https://play.google.com/store/apps/details?id=com.voice.translate.chao
US,GROSS,AND,2019,6,M,23,+5,,Travel & Local,Bicycle Route Navigator,Adventure Cycling Association,0.0,$9.99 - $94.99 per item,2020-03-09,13943,https://play.google.com/store/apps/details?id=org.adventurecycling.maps
US,GROSS,AND,2019,6,M,24,+16,,Travel & Local,Gettysburg Driving Tour,Tour Buddy LLC.,$9.99,,2019-10-20,12687,https://play.google.com/store/apps/details?id=com.tb.tb633
US,GROSS,AND,2019,6,M,25,-4,,Maps & Navigations,Sygic Truck GPS Navigation & Maps,Sygic.,0.0,$0.99 - $139.99 per item,2020-07-16,12655,https://play.google.com/store/apps/details?id=com.sygic.truck
US,GROSS,AND,2019,6,M,26,+1,,Travel & Local,Kauai GPS Driving Tours,Shaka Guide,0.0,$5.99 - $19.99 per item,2020-07-15,11919,https://play.google.com/store/apps/details?id=com.shaka.guide.kauai
US,GROSS,AND,2019,6,M,27,-4,,Travel & Local,Hawaii Revealed App- Download Hawaii Travel Guide,"Wizard Publications, Inc.",0.0,$0.99 - $29.99 per item,2020-03-19,11093,https://play.google.com/store/apps/details?id=com.wizardpublications
US,GROSS,AND,2019,6,M,28,+3,,Travel & Local,App in the Air - Travel planner & Flight tracker,"App in the Air, Inc.",0.0,$0.99 - $74.99 per item,2020-07-08,10821,https://play.google.com/store/apps/details?id=com.aita
US,GROSS,AND,2019,6,M,29,-7,,Travel & Local,The Flight Tracker,Impala Studios,0.0,$0.99 - $13.99 per item,2020-07-06,10656,https://play.google.com/store/apps/details?id=com.flistholding.flightplus
US,GROSS,AND,2019,6,M,30,-4,,Travel & Local,Disney World Lines,www.TouringPlans.com,0.0,$15.99 per item,2018-08-17,10570,https://play.google.com/store/apps/details?id=com.touringplans.lines.android
US,GROSS,AND,2019,6,M,31,+2,,Travel & Local,Family Locator - GPS Tracker & Find Your Phone App,FAMILY LOCATOR LLC,0.0,$2.98 - $59.99 per item,2020-07-10,9900,https://play.google.com/store/apps/details?id=com.sygic.familywhere.android
US,GROSS,AND,2019,6,M,32,+11,,Travel & Local,Just Ahead: Audio Tour Guides,Just Ahead,0.0,$0.99 - $29.99 per item,2020-07-08,9888,https://play.google.com/store/apps/details?id=com.justahead.justaheadandroid
US,GROSS,AND,2019,6,M,33,+31,,Travel & Local,Yellowstone GyPSy Driving Tour,GyPSy Guide,$6.99,,2019-08-01,9679,https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.wy.y
US,GROSS,AND,2019,6,M,34,+2,,Travel & Local,Sygic Travel Maps Offline & Trip Planner,Sygic.,0.0,$3.99 - $19.99 per item,2020-06-15,9609,https://play.google.com/store/apps/details?id=com.tripomatic
US,GROSS,AND,2019,6,M,35,+2,,Travel & Local,"TourBar - Chat, Meet & Travel",TourBar,0.0,$3.00 - $135.00 per item,2020-04-23,9299,https://play.google.com/store/apps/details?id=com.tourbar
US,GROSS,AND,2019,6,M,36,-12,,Maps & Navigations,CityMaps2Go  Offline Maps for Travel and Outdoors,Ulmon GmbH,0.0,$10.99 - $32.99 per item,2020-04-10,8851,https://play.google.com/store/apps/details?id=com.ulmon.android.citymaps2go
US,GROSS,AND,2019,6,M,37,-7,,Travel & Local,GPSmyCity: Walks in 1K+ Cities,"GPSmyCity.com, Inc.",0.0,$1.99 - $18.99 per item,2020-06-04,8495,https://play.google.com/store/apps/details?id=com.gpsmycity.iwtmaster
US,GROSS,AND,2019,6,M,38,+38,,Travel & Local,TrailView,TrailView,0.0,$2.99 - $9.99 per item,2020-06-24,8107,https://play.google.com/store/apps/details?id=com.trailview.app
US,GROSS,AND,2019,6,M,39,-,,Travel & Local,Big Island Hawaii GPS Driving Tours,Shaka Guide,0.0,$0.99 - $19.99 per item,2020-07-15,7941,https://play.google.com/store/apps/details?id=com.shaka.guide.big.island
US,GROSS,AND,2019,6,M,40,-2,,Travel & Local,"OsmAnd+ — Offline Maps, Travel & Navigation",OsmAnd,$4.49,$0.99 - $5.99 per item,2020-06-09,7895,https://play.google.com/store/apps/details?id=net.osmand.plus
US,GROSS,AND,2019,6,M,41,-12,,Travel & Local,"Ultimate PUBLIC Campgrounds (Over 43,300 in US&CA)",Toad Hall Enterprises,$3.99,,2020-07-02,7758,https://play.google.com/store/apps/details?id=com.ultimatecampgrounds.ultimatecampgrounds
