Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,PAID,AND,2019,1,M,1,-,,Travel & Local,LiveATC for Android,LiveATC,$3.99,,2020-01-31,309394,https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app
US,PAID,AND,2019,1,M,2,-,,Travel & Local,PeakFinder,Fabio Soldati,$4.99,,2020-03-03,161434,https://play.google.com/store/apps/details?id=org.peakfinder.area.alps
US,PAID,AND,2019,1,M,3,+2,,Maps & Navigations,Land Nav Assistant,Gammon Applications,$1.99,,2019-04-21,87053,https://play.google.com/store/apps/details?id=com.gammonapps.android.straightlinenavigator
US,PAID,AND,2019,1,M,4,-1,,Travel & Local,Road to Hana GyPSy Drive Tour,GyPSy Guide,$5.99,,2019-05-23,77281,https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.rh
US,PAID,AND,2019,1,M,5,+1,,Travel & Local,"Ultimate PUBLIC Campgrounds (Over 43,300 in US&CA)",Toad Hall Enterprises,$3.99,,2020-07-02,56350,https://play.google.com/store/apps/details?id=com.ultimatecampgrounds.ultimatecampgrounds
US,PAID,AND,2019,1,M,6,+2,,Travel & Local,HappyCow - Find vegan restaurants worldwide,HappyCow,$3.99,,2020-07-14,53204,https://play.google.com/store/apps/details?id=com.sisow.hcvg.healthydiningguide
US,PAID,AND,2019,1,M,7,+31,,Travel & Local,Military Space-A Flights,Standout Apps,$2.99,,2019-03-03,51764,https://play.google.com/store/apps/details?id=appinventor.ai_lawrence_spinetta.SpaceAFlights
US,PAID,AND,2019,1,M,8,-4,,Travel & Local,Maui - Full Island GyPSy Driving Tour,GyPSy Guide,$9.99,,2019-05-23,47851,https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.fit
US,PAID,AND,2019,1,M,9,-,,Travel & Local,Plane Finder - Flight Tracker,pinkfroot limited,$6.49,$1.99 per item,2020-05-20,34011,https://play.google.com/store/apps/details?id=com.pinkfroot.planefinder
US,PAID,AND,2019,1,M,10,-,,Travel & Local,Maps Speedometer,Amphebia,$1.49,,2019-01-16,30122,https://play.google.com/store/apps/details?id=com.amphebia.navigationspeedometer
