"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","LiveATC for Android","LiveATC","$3.99","","2020-01-31","293611","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"2","+1","Travel & Local","PeakFinder","Fabio Soldati","$4.99","","2020-03-03","167056","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"3","-1","Travel & Local","Road to Hana GyPSy Drive Tour","GyPSy Guide","$6.99","","2019-05-23","123728","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.rh"
"4","-","Travel & Local","Maui - Full Island GyPSy Driving Tour","GyPSy Guide","$9.99","","2019-05-23","72641","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.fit"
"5","-","Travel & Local","HappyCow - Find vegan restaurants worldwide","HappyCow","$3.99","","2020-07-14","64618","https://play.google.com/store/apps/details?id=com.sisow.hcvg.healthydiningguide"
"6","+3","Maps & Navigations","Villages GPS","BK Partnerships, LLC.","$6.99","","2019-06-05","39414","https://play.google.com/store/apps/details?id=com.golfcart"
"7","-1","Travel & Local","MBTA Rail","Starboard LLC","$1.99","","2020-06-25","31136","https://play.google.com/store/apps/details?id=com.ech.mbtarail"
"8","+2","Travel & Local","MilSpaceA","Take-a-Hop","$6.99","","2020-01-29","30111","https://play.google.com/store/apps/details?id=com.takeahop.milspacea"
"9","+3","Travel & Local","US Public Lands","Two Steps Beyond LLC","$2.99","","2019-07-08","29802","https://play.google.com/store/apps/details?id=com.twostepsbeyond.uspubliclands"
"10","-2","Travel & Local","Kauai GyPSy Guide Driving Tour","GyPSy Guide","$8.99","","2020-02-20","29633","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.hi.k"
"11","-4","Travel & Local","Hawaii Big Island Full Island Tour GyPSy","GyPSy Guide","$9.99","","2019-04-10","28188","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.hbi.fit"
"12","-1","Travel & Local","Plane Finder - Flight Tracker","pinkfroot limited","$6.49","$1.99 per item","2020-05-20","27601","https://play.google.com/store/apps/details?id=com.pinkfroot.planefinder"
"13","+8","Travel & Local","OruxMaps GP","jose vazquez","$3.49","$0.99 - $8.99 per item","2020-07-10","24516","https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate"
"14","-1","Travel & Local","Ultimate PUBLIC Campgrounds (Over 43,300 in US&CA)","Toad Hall Enterprises","$2.99","","2020-07-02","23869","https://play.google.com/store/apps/details?id=com.ultimatecampgrounds.ultimatecampgrounds"
"15","-","Travel & Local","OsmAnd+ — Offline Maps, Travel & Navigation","OsmAnd","$11.99","$0.99 - $5.99 per item","2020-06-09","23419","https://play.google.com/store/apps/details?id=net.osmand.plus"
"16","-2","Travel & Local","Oahu Full Island GyPSy Tour","GyPSy Guide","$8.99","","2019-05-23","21968","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.oahu.fit"
"17","+16","Travel & Local","iMotoneige","FCMQ","$2.99","","2020-02-25","21243","https://play.google.com/store/apps/details?id=ca.qc.fcmq.iMotoneige18"
"18","+5","Travel & Local","The Flight Tracker","Impala Studios","$4.49","","2020-07-06","20466","https://play.google.com/store/apps/details?id=com.flistholding.flightpluspremium"
"19","-","Travel & Local","FlightView Elite FlightTracker","OAG Aviation Worldwide Limited","$3.99","","2020-04-28","17227","https://play.google.com/store/apps/details?id=com.flightview.flightview_elite"
"20","-4","Travel & Local","Moon Calendar Watch","AppMosaic","$1.99","","2020-04-21","17122","https://play.google.com/store/apps/details?id=com.appmosaic.moonwatch"
"21","+4","Travel & Local","Bonaventure Cemetery Tour","Tour Buddy LLC.","$4.99","","2019-04-17","14302","https://play.google.com/store/apps/details?id=com.tb.tb614"
"22","+17","Travel & Local","WiFox","foXnoMad, LLC","$1.99","","2020-04-09","14252","https://play.google.com/store/apps/details?id=com.foxnomad.wifox.wifox"
"23","+1","Travel & Local","Gettysburg Driving Tour","Tour Buddy LLC.","$9.99","","2019-10-20","12716","https://play.google.com/store/apps/details?id=com.tb.tb633"
"24","-6","Travel & Local","Tide Table Chart","AppMosaic","$3.99","","2020-06-04","11539","https://play.google.com/store/apps/details?id=com.appmosaic.tidechart"
"25","-3","Travel & Local","AlpineQuest Off-Road Explorer","Psyberia","$9.99","","2020-05-26","11290","https://play.google.com/store/apps/details?id=psyberia.alpinequest.full"
