"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","Uber - Request a ride","Uber Technologies, Inc.","0.0","","2010-05-20","310000","https://itunes.apple.com/US/app/id368677368"
"2","-","Travel","Lyft","Lyft, Inc.","0.0","","2012-05-30","151505","https://itunes.apple.com/US/app/id529379082"
"3","-","Food & Drink","Yelp Food, Delivery & Services","Yelp","0.0","","2019-02-11","106733","https://itunes.apple.com/US/app/id284910350"
"4","-","Travel","Airbnb","Airbnb, Inc.","0.0","","2010-11-10","73773","https://itunes.apple.com/US/app/id401626263"
"5","+2","Travel","Google Earth","Google LLC","0.0","","2008-10-27","50553","https://itunes.apple.com/US/app/id293622097"
"6","-1","Travel","Southwest Airlines","Southwest Airlines Co.","0.0","","2009-12-17","47155","https://itunes.apple.com/US/app/id344542975"
"7","+3","Travel","Lime - Your Ride Anytime","Neutron Holdings. Inc.","0.0","","2017-05-09","43951","https://itunes.apple.com/US/app/id1199780189"
"8","-2","Travel","American Airlines","American Airlines","0.0","","2010-07-26","41977","https://itunes.apple.com/US/app/id382698565"
"9","-1","Travel","United Airlines","United Airlines","0.0","","2011-07-19","40582","https://itunes.apple.com/US/app/id449945214"
"10","-1","Travel","Booking.com: Hotels & Travel","Booking.com","0.0","","2010-04-14","32623","https://itunes.apple.com/US/app/id367003839"
"11","+2","Travel","Fly Delta","Delta Air Lines, Inc.","0.0","","2010-08-31","27561","https://itunes.apple.com/US/app/id388491656"
"12","+5","Travel","Bird - Be Free, Enjoy the Ride","Bird Rides, Inc.","0.0","","2017-09-11","27056","https://itunes.apple.com/US/app/id1260842311"
"13","-2","Travel","Expedia: Hotels, Flights & Car","Expedia, Inc.","0.0","","2011-04-06","26503","https://itunes.apple.com/US/app/id427916203"
"14","-2","Travel","Hopper - Flight & Hotel Deals","Hopper","0.0","","2015-01-27","25310","https://itunes.apple.com/US/app/id904052407"
"15","-","Travel","My Disney Experience","Disney","0.0","One Day Memory Maker : $69.99 / 30 Day Memory Maker : $199.99","2012-08-02","20180","https://itunes.apple.com/US/app/id547436543"
"16","-2","Travel","Vrbo Vacation Rentals","HomeAway.com, Inc.","0.0","","2017-07-19","19862","https://itunes.apple.com/US/app/id1245772818"
"17","-1","Travel","Turo - Better Than Car Rental","Turo Inc.","0.0","","2012-08-31","19022","https://itunes.apple.com/US/app/id555063314"
"18","-","Travel","Gogo Entertainment","GOGO LLC","0.0","","2015-08-04","17718","https://itunes.apple.com/US/app/id1021721629"
"19","+8","Travel","GasBuddy: Find Cheap Gas","GasBuddy Organization Inc","0.0","","2010-12-17","15315","https://itunes.apple.com/US/app/id406719683"
"20","-1","Travel","Marriott Bonvoy","Marriott International","0.0","","2011-08-05","14867","https://itunes.apple.com/US/app/id455004730"
"21","-","Travel","Disneyland®","Disney","0.0","Digital Photo Download : $14.99","2015-08-04","13421","https://itunes.apple.com/US/app/id1022164656"
"22","+7","Travel","GetUpside Cashback: Gas & Food","Upside Services Inc","0.0","","2016-04-19","13414","https://itunes.apple.com/US/app/id1099997174"
"23","-3","Travel","Hotels.com: Book Hotels & More","Hotels.com","0.0","","2019-02-11","13290","https://itunes.apple.com/US/app/id284971959"
"24","-","Travel","Hilton Honors: Book Hotels","Hilton Worldwide, Inc.","0.0","","2013-04-29","12923","https://itunes.apple.com/US/app/id635150066"
"25","-3","Travel","JetBlue - Book & manage trips","JetBlue Airways","0.0","","2012-02-03","12428","https://itunes.apple.com/US/app/id481370590"
"26","-","Travel","Carnival HUB","Carnival Cruise Lines","0.0","","2015-01-15","11807","https://itunes.apple.com/US/app/id925117977"
"27","-2","Travel","Allegiant","Allegiant Travel Company","0.0","","2012-06-06","11193","https://itunes.apple.com/US/app/id528413490"
"28","-","Travel","Frontier Airlines","Frontier Airlines","0.0","","2015-10-15","10913","https://itunes.apple.com/US/app/id1041410548"
"29","-6","Travel","Spirit Airlines","Spirit Airlines","0.0","","2018-11-15","10689","https://itunes.apple.com/US/app/id1438670520"
"30","+7","Travel","Rover—Dog Sitters & Walkers","Rover.com","0.0","","2012-08-08","9963","https://itunes.apple.com/US/app/id547320928"
