Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,FREE,IOS,2020,3,M,1,-,,Travel,Uber - Request a ride,"Uber Technologies, Inc.",0.0,,2010-05-20,257500,https://itunes.apple.com/US/app/id368677368
US,FREE,IOS,2020,3,M,2,+4,,Travel,Google Earth,Google LLC,0.0,,2008-10-27,131359,https://itunes.apple.com/US/app/id293622097
US,FREE,IOS,2020,3,M,3,-1,,Travel,Lyft,"Lyft, Inc.",0.0,,2012-05-30,117692,https://itunes.apple.com/US/app/id529379082
US,FREE,IOS,2020,3,M,4,-1,,Food & Drink,"Yelp Food, Delivery & Services",Yelp,0.0,,2019-02-11,78423,https://itunes.apple.com/US/app/id284910350
US,FREE,IOS,2020,3,M,5,-1,,Travel,Hopper - Flight & Hotel Deals,Hopper,0.0,,2015-01-27,76225,https://itunes.apple.com/US/app/id904052407
US,FREE,IOS,2020,3,M,6,-1,,Travel,Airbnb,"Airbnb, Inc.",0.0,,2010-11-10,58616,https://itunes.apple.com/US/app/id401626263
US,FREE,IOS,2020,3,M,7,new,,Travel,Southwest Airlines,Southwest Airlines Co.,0.0,,2009-12-17,29556,https://itunes.apple.com/US/app/id344542975
US,FREE,IOS,2020,3,M,8,-1,,Travel,"Expedia: Hotels, Flights & Car","Expedia, Inc.",0.0,,2011-04-06,28800,https://itunes.apple.com/US/app/id427916203
US,FREE,IOS,2020,3,M,9,new,,Travel,GasBuddy: Find Cheap Gas,GasBuddy Organization Inc,0.0,,2010-12-17,28420,https://itunes.apple.com/US/app/id406719683
US,FREE,IOS,2020,3,M,10,new,,Travel,American Airlines,American Airlines,0.0,,2010-07-26,27389,https://itunes.apple.com/US/app/id382698565
US,FREE,IOS,2020,3,M,11,new,,Food & Drink,Grubhub: Local Food Delivery,GrubHub.com,0.0,,2009-02-03,23749,https://itunes.apple.com/US/app/id302920553
US,FREE,IOS,2020,3,M,12,new,,Travel,Vrbo Vacation Rentals,"HomeAway.com, Inc.",0.0,,2017-07-19,23176,https://itunes.apple.com/US/app/id1245772818
US,FREE,IOS,2020,3,M,13,new,,Travel,United Airlines,United Airlines,0.0,,2011-07-19,22662,https://itunes.apple.com/US/app/id449945214
US,FREE,IOS,2020,3,M,14,new,,Travel,Fly Delta,"Delta Air Lines, Inc.",0.0,,2010-08-31,19630,https://itunes.apple.com/US/app/id388491656
US,FREE,IOS,2020,3,M,15,-7,,Travel,Booking.com: Hotels & Travel,Booking.com,0.0,,2010-04-14,19014,https://itunes.apple.com/US/app/id367003839
US,FREE,IOS,2020,3,M,16,new,,Travel,Google Street View,Google LLC,0.0,,2014-08-19,17915,https://itunes.apple.com/US/app/id904418768
US,FREE,IOS,2020,3,M,17,new,,Travel,Turo - Better Than Car Rental,Turo Inc.,0.0,,2012-08-31,13608,https://itunes.apple.com/US/app/id555063314
US,FREE,IOS,2020,3,M,18,new,,Travel,GetUpside Cashback: Gas & Food,Upside Services Inc,0.0,,2016-04-19,13182,https://itunes.apple.com/US/app/id1099997174
US,FREE,IOS,2020,3,M,19,new,,Travel,Spirit Airlines,Spirit Airlines,0.0,,2018-11-15,12980,https://itunes.apple.com/US/app/id1438670520
US,FREE,IOS,2020,3,M,20,new,,Navigation,Waze Navigation & Live Traffic,Waze Inc.,0.0,,2009-08-01,12335,https://itunes.apple.com/US/app/id323229106
US,FREE,IOS,2020,3,M,21,new,,Travel,Planes Live - Flight Tracker,"Weather or Not Apps, LLC",0.0,Planes Live Premium : $2.99 / Planes Live Premium 1 Month : $4.99,2016-06-16,12098,https://itunes.apple.com/US/app/id1097815000
US,FREE,IOS,2020,3,M,22,new,,Travel,Drive Safe & Save™,State Farm Mutual Automobile Insurance Company,0.0,,2015-11-08,11345,https://itunes.apple.com/US/app/id1043246998
US,FREE,IOS,2020,3,M,23,new,,Travel,JetBlue - Book & manage trips,JetBlue Airways,0.0,,2012-02-03,10830,https://itunes.apple.com/US/app/id481370590
US,FREE,IOS,2020,3,M,24,new,,Reference,Google Translate,Google LLC,0.0,,2011-02-08,10806,https://itunes.apple.com/US/app/id414706506
US,FREE,IOS,2020,3,M,25,new,,Travel,Hotels.com: Book Hotels & More,Hotels.com,0.0,,2019-02-11,10640,https://itunes.apple.com/US/app/id284971959
US,FREE,IOS,2020,3,M,26,new,,Travel,Frontier Airlines,Frontier Airlines,0.0,,2015-10-15,9437,https://itunes.apple.com/US/app/id1041410548
US,FREE,IOS,2020,3,M,27,new,,Travel,Flightradar24 | Flight Tracker,Flightradar24 AB,0.0,Silver Plan - Monthly : $1.49 / Gold Plan - Monthly : $3.99,2010-07-21,8822,https://itunes.apple.com/US/app/id382233851
US,FREE,IOS,2020,3,M,28,new,,Travel,"Bird - Be Free, Enjoy the Ride","Bird Rides, Inc.",0.0,,2017-09-11,8799,https://itunes.apple.com/US/app/id1260842311
US,FREE,IOS,2020,3,M,29,new,,Travel,"Priceline - Hotel, Flight, Car",priceline.com,0.0,,2009-10-26,8505,https://itunes.apple.com/US/app/id336381998
US,FREE,IOS,2020,3,M,30,new,,Travel,My Disney Experience,Disney,0.0,One Day Memory Maker : $69.99 / 30 Day Memory Maker : $199.99,2012-08-02,8372,https://itunes.apple.com/US/app/id547436543
US,FREE,IOS,2020,3,M,31,new,,Travel,iTranslate Converse,iTranslate,0.0,iTranslate Pro : $9.99 / iTranslate Pro : $39.99 / iTranslate Pro : $4.99 / iTranslate PRO : $49.99,2017-08-03,8132,https://itunes.apple.com/US/app/id1241264761
US,FREE,IOS,2020,3,M,32,new,,Travel,Hilton Honors: Book Hotels,"Hilton Worldwide, Inc.",0.0,,2013-04-29,7981,https://itunes.apple.com/US/app/id635150066
US,FREE,IOS,2020,3,M,33,new,,Travel,Play Disney Parks,Disney,0.0,,2018-06-30,7741,https://itunes.apple.com/US/app/id1325935439
US,FREE,IOS,2020,3,M,34,new,,Travel,Spin — Electric Scooters,Skinny Labs Inc.,0.0,,2017-06-21,7527,https://itunes.apple.com/US/app/id1241808993
US,FREE,IOS,2020,3,M,35,new,,Travel,Lime - Your Ride Anytime,Neutron Holdings. Inc.,0.0,,2017-05-09,7242,https://itunes.apple.com/US/app/id1199780189
US,FREE,IOS,2020,3,M,36,new,,Travel,Allegiant,Allegiant Travel Company,0.0,,2012-06-06,7215,https://itunes.apple.com/US/app/id528413490
US,FREE,IOS,2020,3,M,37,new,,Travel,Enterprise Rent-A-Car,"Enterprise Holdings, Inc.",0.0,,2015-10-03,6783,https://itunes.apple.com/US/app/id1020641417
US,FREE,IOS,2020,3,M,38,new,,Travel,U-Haul,"U-Haul International, Inc.",0.0,,2015-05-25,6748,https://itunes.apple.com/US/app/id989307692
US,FREE,IOS,2020,3,M,39,new,,Travel,Tripadvisor Hotels & Vacation,Tripadvisor,0.0,,2019-02-05,6690,https://itunes.apple.com/US/app/id284876795
US,FREE,IOS,2020,3,M,40,new,,Travel,Gogo Entertainment,GOGO LLC,0.0,,2015-08-04,6637,https://itunes.apple.com/US/app/id1021721629
