"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","My Disney Experience","Disney","0.0","One Day Memory Maker : $69.99 / 30 Day Memory Maker : $199.99","2012-08-02","290000","https://itunes.apple.com/US/app/id547436543"
"2","-","Travel","iTranslate Converse","iTranslate","0.0","iTranslate Pro : $9.99 / iTranslate Pro : $39.99 / iTranslate Pro : $4.99 / iTranslate PRO : $49.99","2017-08-03","113086","https://itunes.apple.com/US/app/id1241264761"
"3","-","Travel","Flightradar24 | Flight Tracker","Flightradar24 AB","0.0","Silver Plan - Monthly : $1.49 / Gold Plan - Monthly : $3.99","2010-07-21","101476","https://itunes.apple.com/US/app/id382233851"
"4","+2","Travel","Guthook Guides: Hike Offline","Atlas Guides LLC","0.0","AT Section 1: GA/NC : $8.99 / Guthook's Appalachian Trail : $59.99 / AT Section 5: PA & MD : $8.99","2013-03-08","65727","https://itunes.apple.com/US/app/id605447532"
"5","+5","Travel","Mohegan Sun Connecticut","Mohegan Sun Connecticut","0.0","P4F0 500,000 Credits : $4.99 / STARTER : $2.99 / P4F HotOffer1 Credits : $0.99","2013-06-01","51566","https://itunes.apple.com/US/app/id646553835"
"6","+1","Travel","Planes Live - Flight Tracker","Weather or Not Apps, LLC","0.0","Planes Live Premium : $2.99 / Planes Live Premium 1 Month : $4.99","2016-06-16","49567","https://itunes.apple.com/US/app/id1097815000"
"7","+1","Travel","Crew Buddy","Wapiti Software LLC","0.0","CrewBuddy Pro : $24.99 / CrewBuddy Pro : $2.99","2014-05-01","48979","https://itunes.apple.com/US/app/id685014186"
"8","-3","Travel","OBD Fusion","OCTech, LLC","$9.99","Ford 2006 Enhanced Diagnostics : $9.99 / Ford 2004 Enhanced Diagnostics : $9.99 / Ford 2005 Enhanced Diagnostics : $9.99","2013-06-01","41827","https://itunes.apple.com/US/app/id650684932"
"9","-","Travel","Disneyland®","Disney","0.0","Digital Photo Download : $14.99","2015-08-04","32228","https://itunes.apple.com/US/app/id1022164656"
"10","+3","Travel","Camp & RV - Tents to RV Parks","Allstays LLC","$9.99","","2010-05-13","29924","https://itunes.apple.com/US/app/id370820516"
"11","+1","Travel","TripIt: Travel Planner","TripIt","0.0","TripIt Pro (1 Year) : $48.99","2009-04-10","26393","https://itunes.apple.com/US/app/id311035142"
"12","+2","Travel","Vegan Food Near You - HappyCow","HappyCow","$3.99","","2011-05-12","23486","https://itunes.apple.com/US/app/id435871950"
