Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,GROSS,IOS,2019,6,M,1,new,,Productivity,Norton Secure VPN & Proxy VPN,"NortonLifeLock, Inc.",0,Subscription with free trial for one device : $29.99 / Yearly Plan : $29.99 / 7 Day Trial Yearly Plan : $39.99,2016-06-13,324697,https://itunes.apple.com/US/app/id1095519285
US,GROSS,IOS,2019,6,M,2,-1,,Travel,My Disney Experience,Disney,0,One Day Memory Maker : $69.99 / 30 Day Memory Maker : $199.99,2012-08-02,144333,https://itunes.apple.com/US/app/id547436543
US,GROSS,IOS,2019,6,M,3,new,,Weather,NOAA Weather Radar Live,"Weather or Not Apps, LLC",0,Full Access to Pro Features : $2.99 / Pro Features (Weekly) : $2.99 / Pro Features (Monthly) : $4.99,2013-11-25,123231,https://itunes.apple.com/US/app/id749133753
US,GROSS,IOS,2019,6,M,4,-2,,Travel,Mobile Passport,Airside Mobile LLC,0.0,Mobile Passport plus : $9.99 / Mobile Passport plus : $13.99 / Mobile Passport plus : $12.99,2014-08-11,66483,https://itunes.apple.com/US/app/id907024887
US,GROSS,IOS,2019,6,M,5,-1,,Travel,iTranslate Converse,iTranslate,0.0,iTranslate Pro : $9.99 / iTranslate Pro : $39.99 / iTranslate Pro : $4.99 / iTranslate PRO : $49.99,2017-08-03,42953,https://itunes.apple.com/US/app/id1241264761
US,GROSS,IOS,2019,6,M,6,-3,,Travel,Flightradar24 | Flight Tracker,Flightradar24 AB,0.0,Silver Plan - Monthly : $1.49 / Gold Plan - Monthly : $3.99,2010-07-21,40657,https://itunes.apple.com/US/app/id382233851
US,GROSS,IOS,2019,6,M,7,-1,,Travel,Guthook Guides: Hike Offline,Atlas Guides LLC,0.0,AT Section 1: GA/NC : $8.99 / Guthook's Appalachian Trail : $59.99 / AT Section 5: PA & MD : $8.99,2013-03-08,24050,https://itunes.apple.com/US/app/id605447532
US,GROSS,IOS,2019,6,M,8,new,,Healthcare & Fitness,"AllTrails: Hike, Bike & Run","AllTrails, Inc.",0,AllTrails Pro : $29.99,2010-12-17,21667,https://itunes.apple.com/US/app/id405075943
US,GROSS,IOS,2019,6,M,9,-4,,Travel,Planes Live - Flight Tracker,"Weather or Not Apps, LLC",0.0,Planes Live Premium : $2.99 / Planes Live Premium 1 Month : $4.99,2016-06-16,20915,https://itunes.apple.com/US/app/id1097815000
US,GROSS,IOS,2019,6,M,10,-1,,Travel,Crew Buddy,Wapiti Software LLC,0.0,CrewBuddy Pro : $24.99 / CrewBuddy Pro : $2.99,2014-05-01,17525,https://itunes.apple.com/US/app/id685014186
US,GROSS,IOS,2019,6,M,11,-4,,Travel,Disneyland®,Disney,0.0,Digital Photo Download : $14.99,2015-08-04,16475,https://itunes.apple.com/US/app/id1022164656
