Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,PAID,IOS,2019,5,M,1,-,,Travel,Vegan Food Near You - HappyCow,HappyCow,$3.99,,2011-05-12,310000,https://itunes.apple.com/US/app/id435871950
US,PAID,IOS,2019,5,M,2,+3,,Travel,MarineTraffic - Ship Tracking,MarineTraffic.com,$4.99,Augmented Reality : $2.99 / Access Plus 24 : $0.99 / Nautical Charts Monthly : $2.99,2012-10-08,125325,https://itunes.apple.com/US/app/id563910324
US,PAID,IOS,2019,5,M,3,-,,Travel,OBD Fusion,"OCTech, LLC",$9.99,Ford 2006 Enhanced Diagnostics : $9.99 / Ford 2004 Enhanced Diagnostics : $9.99 / Ford 2005 Enhanced Diagnostics : $9.99,2013-06-01,104714,https://itunes.apple.com/US/app/id650684932
US,PAID,IOS,2019,5,M,4,-2,,Travel,Camp & RV - Tents to RV Parks,Allstays LLC,$9.99,,2010-05-13,85085,https://itunes.apple.com/US/app/id370820516
US,PAID,IOS,2019,5,M,5,+3,,Travel,PeakFinder AR,Fabio Soldati,$4.99,,2010-03-12,66047,https://itunes.apple.com/US/app/id357421934
US,PAID,IOS,2019,5,M,6,-,,Travel,Road to Hana Maui GyPSy Guide,GPS Tour Guide,$6.99,,2012-11-19,56178,https://itunes.apple.com/US/app/id578451869
US,PAID,IOS,2019,5,M,7,-3,,Travel,LiveATC Air Radio,LiveATC.net,$3.99,,2009-06-09,50074,https://itunes.apple.com/US/app/id317809458
US,PAID,IOS,2019,5,M,8,-1,,Travel,Roadside America,This Exit LLC,$2.99,US Access (v1.0-1.3) : $5.99 / All Access : $6.99 / US - Southeast : $1.99,2009-12-30,42314,https://itunes.apple.com/US/app/id347393479
US,PAID,IOS,2019,5,M,9,+52,,Travel,Yellowstone Grand Teton GyPSy,GPS Tour Guide,$9.99,,2016-09-07,29406,https://itunes.apple.com/US/app/id1143635056
US,PAID,IOS,2019,5,M,10,+4,,Travel,PeakVisor,Routes Software SRL,$5.99,PeakVisor PRO – Monthly : $3.49 / PeakVisor PRO – Annually : $23.99,2016-12-21,25355,https://itunes.apple.com/US/app/id1187259191
US,PAID,IOS,2019,5,M,11,-,,Travel,Walmart Overnight Parking,Allstays LLC,$2.99,,2010-01-29,24871,https://itunes.apple.com/US/app/id352818407
US,PAID,IOS,2019,5,M,12,+29,,Travel,Plane Finder 3D,pinkfroot limited,$4.99,,2017-10-02,24389,https://itunes.apple.com/US/app/id1286867331
US,PAID,IOS,2019,5,M,13,-4,,Travel,Maui GyPSy Guide Driving Tour,GPS Tour Guide,$9.99,,2012-11-19,23625,https://itunes.apple.com/US/app/id578453078
US,PAID,IOS,2019,5,M,14,-4,,Travel,Spanish Translator Pro,Shoreline Animation,$0.99,,2011-05-10,20686,https://itunes.apple.com/US/app/id435741813
US,PAID,IOS,2019,5,M,15,+3,,Travel,MilSpaceA,Take-a-Hop,$6.99,Enable Skype Calling : $1.99,2012-01-26,20138,https://itunes.apple.com/US/app/id496694432
US,PAID,IOS,2019,5,M,16,+26,,Travel,Truck Stops & Travel Plazas,Allstays LLC,$9.99,,2010-10-21,17993,https://itunes.apple.com/US/app/id398391903
US,PAID,IOS,2019,5,M,17,-,,Travel,USFS & BLM Campgrounds,William Modesitt,$0.99,,2013-06-03,17484,https://itunes.apple.com/US/app/id654806302
