"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","Camp & RV - Tents to RV Parks","Allstays LLC","$9.99","","2010-05-13","281666","https://itunes.apple.com/US/app/id370820516"
"2","+1","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","$4.99","Augmented Reality : $2.99 / Access Plus 24 : $0.99 / Nautical Charts Monthly : $2.99","2012-10-08","148870","https://itunes.apple.com/US/app/id563910324"
"3","-1","Travel","OBD Fusion","OCTech, LLC","$9.99","Ford 2006 Enhanced Diagnostics : $9.99 / Ford 2004 Enhanced Diagnostics : $9.99 / Ford 2005 Enhanced Diagnostics : $9.99","2013-06-01","104704","https://itunes.apple.com/US/app/id650684932"
"4","+1","Travel","PeakFinder AR","Fabio Soldati","$4.99","","2010-03-12","75563","https://itunes.apple.com/US/app/id357421934"
"5","-1","Travel","LiveATC Air Radio","LiveATC.net","$3.99","","2009-06-09","69443","https://itunes.apple.com/US/app/id317809458"
"6","-","Travel","Vegan Food Near You - HappyCow","HappyCow","$3.99","","2011-05-12","58609","https://itunes.apple.com/US/app/id435871950"
"7","+10","Travel","Yellowstone Grand Teton GyPSy","GPS Tour Guide","$9.99","","2016-09-07","55641","https://itunes.apple.com/US/app/id1143635056"
"8","-1","Travel","USFS & BLM Campgrounds","William Modesitt","$0.99","","2013-06-03","36128","https://itunes.apple.com/US/app/id654806302"
"9","-","Travel","Roadside America","This Exit LLC","$2.99","US Access (v1.0-1.3) : $5.99 / All Access : $6.99 / US - Southeast : $1.99","2009-12-30","35735","https://itunes.apple.com/US/app/id347393479"
"10","-2","Travel","Maplets – The Offline Maps App","Zaia Design","$2.99","","2009-12-10","28464","https://itunes.apple.com/US/app/id337841739"
"11","+1","Travel","RV Dump Stations","William Modesitt","$0.99","","2017-07-10","26828","https://itunes.apple.com/US/app/id1257573007"
"12","+3","Travel","Gettysburg Driving Tour","Tour Buddy","$9.99","","2016-09-05","25435","https://itunes.apple.com/US/app/id1141956682"
"13","-3","Travel","US Public Lands","Two Steps Beyond","$2.99","","2014-04-11","23628","https://itunes.apple.com/US/app/id723185418"
"14","-3","Travel","Walmart Overnight Parking","Allstays LLC","$2.99","","2010-01-29","22110","https://itunes.apple.com/US/app/id352818407"
"15","-1","Travel","Ultimate US Public Campgrounds","William Modesitt","$3.99","","2013-09-16","19026","https://itunes.apple.com/US/app/id698323700"
"16","-3","Travel","OpenADSB","Steve Kuo","$9.99","","2018-01-19","17896","https://itunes.apple.com/US/app/id1178703539"
"17","+67","Travel","Yellowstone GyPSy Guide Tour","GPS Tour Guide","$6.99","","2015-04-13","16890","https://itunes.apple.com/US/app/id984151475"
"18","-2","Travel","Texas Historical Marker Guide","Gregory Moore","$2.99","","2015-01-25","14154","https://itunes.apple.com/US/app/id882607297"
"19","-","Travel","Truck Stops & Travel Plazas","Allstays LLC","$9.99","","2010-10-21","14127","https://itunes.apple.com/US/app/id398391903"
"20","+477","Travel","Rocky Mountain NP GyPSy Guide","GPS Tour Guide","$5.99","","2018-02-21","11251","https://itunes.apple.com/US/app/id1286826105"
"21","+11","Travel","Road Trip Planner™","William Modesitt","$4.99","","2016-03-31","10568","https://itunes.apple.com/US/app/id1095856653"
"22","+46","Travel","ParkQuest National Park Guide","Shantanu Bala","$9.99","","2020-04-21","9954","https://itunes.apple.com/US/app/id1506441866"
"23","+6","Travel","Rest Stops Plus","Allstays LLC","$1.99","","2010-06-17","9367","https://itunes.apple.com/US/app/id377295652"
"24","+1","Travel","RV Dumps","Allstays LLC","$2.99","","2010-06-11","9154","https://itunes.apple.com/US/app/id375670004"
"25","-2","Travel","MilSpaceA","Take-a-Hop","$6.99","Enable Skype Calling : $1.99","2012-01-26","8957","https://itunes.apple.com/US/app/id496694432"
"26","-4","Travel","Truck & RV Fuel Stations","William Modesitt","$0.99","","2013-04-22","8901","https://itunes.apple.com/US/app/id636102179"
"27","-3","Travel","Plane Finder AR","pinkfroot limited","$2.99","","2010-09-16","8684","https://itunes.apple.com/US/app/id390039844"
"28","-8","Travel","Ultimate RV Checklist","Joel Smith","$1.99","","2019-02-02","8553","https://itunes.apple.com/US/app/id1435241168"
"29","+50","Travel","Going to the Sun Road GyPSy","GPS Tour Guide","$4.99","","2016-09-04","8405","https://itunes.apple.com/US/app/id1133332059"
"30","+262","Travel","Grand Teton GyPSy Guide Tour","GPS Tour Guide","$4.99","","2016-07-20","8341","https://itunes.apple.com/US/app/id1131693197"
"31","-4","Travel","Plane Finder - Flight Tracker","pinkfroot limited","$4.99","","2009-11-03","8175","https://itunes.apple.com/US/app/id336477530"
"32","+53","Travel","Zion Bryce Canyon GyPSy Guide","GPS Tour Guide","$9.99","","2019-05-10","8023","https://itunes.apple.com/US/app/id1462821505"
"33","+42","Travel","Great Smoky Mountains GyPSy","GPS Tour Guide","$9.99","","2019-06-25","7476","https://itunes.apple.com/US/app/id1465311162"
"34","new","Travel","Gettysburg Story Tour","HereStory","$9.99","","2020-06-04","7359","https://itunes.apple.com/US/app/id1514690320"
"35","+119","Travel","Arches Canyonlands GyPSy Guide","GPS Tour Guide","$9.99","","2015-05-18","7350","https://itunes.apple.com/US/app/id990452649"
"36","-8","Travel","Hot Springs in the US","William Modesitt","$0.99","","2012-12-10","7203","https://itunes.apple.com/US/app/id583654750"
"37","+19","Travel","USS Alabama Battleship Memorial Park","Middle Bay Multimedia LLC","$0.99","","2013-08-22","7170","https://itunes.apple.com/US/app/id689594826"
"38","+28","Travel","California State Roads","Coderun Technologies Ltd","$1.99","","2016-09-20","7018","https://itunes.apple.com/US/app/id1153967813"
"39","+2","Travel","Gettysburg Audio Tour","Robert Barry","$7.99","","2019-07-27","6920","https://itunes.apple.com/US/app/id1473850205"
"40","-9","Travel","RV Dump Station Finder","Justin Trautman","$0.99","","2019-02-24","6916","https://itunes.apple.com/US/app/id1453722688"
"41","-2","Travel","RV Checklist","Dan Senatro","$0.99","","2009-07-31","6865","https://itunes.apple.com/US/app/id324900531"
"42","-2","Travel","TV Towers USA","Generally Helpful Software","$1.99","Watch App : $0.99","2010-10-20","6786","https://itunes.apple.com/US/app/id396342822"
"43","+7","Travel","Camp and Tent","Allstays LLC","$5.99","","2011-05-17","6298","https://itunes.apple.com/US/app/id437148054"
